Headache_During_Game,Headache_After_Game,Blurred_During_Game,Blurred_After_Game,Dry_or_redeye_during_Game,Dry_or_redeye_After_Game,Double_Vision_After_Game,Double_Vision_After_Game,Light_sense_During_Game,Light_Sense_After_Game,Other_Eye_Affects,Very Good Posture,Good Posture,Fair Posture,Poor Posture,Very Poor Posture,Ok,Awful,Neck discomfort,shoulders discomfort,lower back discomfort,Hands discomfort,Wrists discomfort/pain,Fingers discomfort/blisters,Thumbs discomfort/blisters,Repetitive Strain Injury,Other causes of injuries,Motion controllers,Arcade genre,Puzzle genre,RPG genre,Sim genre,RTS genre,Driving genre,FPS genre,Platform genre,Rhythm genre,Sport genre,Other Genres,Key/Mouse controller,FF Pad,Jpad,Motion controller,Rhythm controller,Other Controllers,Gender,Years,Age,hours_per_week,Year interval
,,Y,,Y,,,,,,,,,,,,B,,Y,Y,,,,Y,,No,,No,,Y,,,Y,,,Y,,,,,,,,,,F,33,58,,2004 - 2005
,,,,,,Y,,,,,,,,,,P,C,,,,,,,,No,,No,,,Y,,,,Y,Y,,,MMO,,,,,,,M,12,18,,2004 - 2005
Y,,Y,,Y,,,,,,,,,,,,P,C,Y,,,,,,,No,,No,,,Y,Y,Y,,Y,Y,,Y,Crap games,,,,,,,M,10,18,,2004 - 2005
Y,,,,,,,,Y,,,,P,,C,,,,,,Y,,Y,Y,,No,,No,,,Y,,Y,,Y,,,Y,,,,,,,,M,10,18,,2004 - 2005
,,,,,,,,Y,,,,C,,P,,,,Y,Y,Y,,,,,No,,No,Y,,Y,,,Y,Y,,,,,,,,,,,M,15,19,,2004 - 2005
Y,,Y,,Y,,,,Y,,,,,,C,,P,,Y,Y,Y,,,,,No,,No,Y,,Y,,,Y,Y,Y,,Y,,,,,,,,M,14,18,,2004 - 2005
,,,,,,,,,,,,P,,,,,,,,,,Y,Y,,No,,No,,Y,,,Y,,Y,,,,,,,,,,,M,15,24,,2004 - 2005
Y,,,,Y,,,,Y,,,,C,,,,P,,,,,,Y,Y,,No,,No,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,,,,,,,M,15,19,,2004 - 2005
Y,,,,,,,,,,,,C,,,,P,,,,,,,,,No,,No,,,Y,,Y,Y,Y,Y,,,,,,,,,,M,8,20,,2004 - 2005
Y,,,,,,,,,,,,,,B,,,,Y,Y,,,,,,No,,No,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,M,15,23,,2004 - 2005
Y,,,,,,,,Y,,,,C,,P,,,,,,,Y,Y,Y,,No,,No,,,Y,,Y,,Y,,,,,,,,,,,M,12,19,,2004 - 2005
,,Y,,,,,,,,,,,,,,B,,Y,Y,,,,,,No,,No,Y,,Y,,,,Y,Y,,,Adventure,,,,,,,M,15,20,,2004 - 2005
Y,,,,,,,,,,,,B,,,,,,Y,,,,,,,Yes,,Dance,,,Y,Y,,Y,Y,Y,Y,Y,,,,,,,,M,12,18,,2004 - 2005
,,,,,,,,,,,,,,C,,P,,,,Y,,,,,No,,No,,,Y,,,Y,Y,Y,,,,,,,,,,M,16,19,,2004 - 2005
,,,,,,,,Y,,,,,,B,,,,Y,,Y,,,,,No,,No,,,Y,Y,Y,,Y,,,,,,,,,,,M,17,20,,2004 - 2005
Y,,,,,,,,,,,,,,C,,P,,,,,,,Y,,No,,No,,,,Y,,,Y,Y,,Y,,,,,,,,M,9,19,,2004 - 2005
Y,,,,Y,,,,,,,,,,,,,B,,,Y,,,,,No,,No,,Y,Y,,Y,Y,Y,Y,,,MMO,,,,,,,M,14,18,,2004 - 2005
,,,,Y,,,,,,,,,,C,,P,,,,,Y,,,,No,,No,,Y,,Y,,,Y,,,Y,,,,,,,,M,13,18,,2004 - 2005
Y,,,,Y,,,,,,,,,,,,B,,,,,,,,,No,,No,,,,Y,,Y,Y,,,Y,,,,,,,,M,11,19,,2004 - 2005
Y,,,,Y,,,,Y,,,,,,C,,,,Y,Y,Y,Y,,Y,,No,,FPS,,,Y,,Y,,Y,,,,,,,,,,,M,13,19,,2004 - 2005
Y,,Y,,,,,,,,,,P,,,,C,,,,,Y,,Y,,No,,No,,Y,Y,,Y,,Y,Y,,,Adventure,,,,,,,M,12,20,,2004 - 2005
Y,,,,,,,,,,,,P,,,,C,,,,,Y,,Y,,No,,No,,,Y,,,,Y,,,,Adventure,,,,,,,M,12,20,,2004 - 2005
,,,,,,,,,,,,P,,C,,,,,,,,,,,No,,No,,,,,,Y,Y,,,Y,,,,,,,,M,12,18,,2004 - 2005
,,,,,,,,,,,,,,B,,,,,,,,,,,No,,No,,,,,Y,Y,Y,,,,,,,,,,,M,11,19,,2004 - 2005
,,,,,,,,,,,,P,,C,,,,Y,,,,,,,No,,No,,,,,,Y,Y,,,Y,,,,,,,,M,7,18,,2004 - 2005
,,,,,,,,,,,,,,,,B,,,,,,,,,No,,No,Y,,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,M,13,19,,2004 - 2005
Y,,Y,,,,,,,,,,C,,P,,,,Y,Y,Y,,,,,No,,No,Y,,,Y,Y,Y,Y,Y,,,,,,,,,,M,17,22,,2004 - 2005
,,,,,,,,,,,,,,P,,C,,Y,Y,Y,,,,,No,,No,,,Y,,,,Y,,,Y,,,,,,,,M,10,20,,2004 - 2005
Y,,,,Y,,,,,,,,,,C,,P,,Y,,,,,Y,,No,,FPS,,,Y,,Y,,Y,,,,,,,,,,,M,12,18,,2004 - 2005
Y,,,,Y,,,,Y,,,,,,C,,,P,Y,Y,Y,Y,Y,Y,,No,,FPS,Y,,Y,,Y,,Y,Y,,,,,,,,,,M,14,25,,2004 - 2005
,,,,,,,,,,,,,,C,,P,,Y,,,,,Y,,No,,No,,,Y,,,Y,Y,Y,Y,,,,,,,,,M,12,18,,2004 - 2005
,,,,,,,,Y,,,,,,,,B,,,,,,,Y,,Yes,,No,Y,,Y,,Y,,Y,Y,,,,,,,,,,M,13,19,,2004 - 2005
Y,,,,,,,,,,,,,,C,,P,,,,,Y,,Y,,No,,No,,,,,,Y,Y,,,,,,,,,,,M,12,19,,2004 - 2005
Y,,,,Y,,,,Y,,,,C,,P,,,,Y,,Y,,Y,,,No,,No,Y,,Y,,,Y,Y,Y,,,,,,,,,,M,11,19,,2004 - 2005
Y,,,,,,,,,,,,C,,,,P,,,Y,,,,,,No,,No,,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,M,10,18,,2004 - 2005
Y,,,,,,,,,,,,B,,,,,,,,,,,,,No,,No,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,,,,,,M,16,18,,2004 - 2005
Y,,,,,,,,Y,,,,,,P,,C,,Y,Y,Y,Y,Y,Y,,No,,No,Y,,,,,,Y,,,,,,,,,,,M,10,19,,2004 - 2005
Y,,,,Y,,,,,,,,,,B,,,,Y,,,,Y,,,No,,No,,,,Y,,Y,Y,,,Y,,,,,,,,M,16,20,,2004 - 2005
,,,,,,,,,,,,,,,,B,,Y,,,,Y,,,No,,No,,,Y,Y,Y,Y,Y,,,,,,,,,,,M,17,19,,2004 - 2005
Y,,Y,,,,,,Y,,,,B,,,,,,,,,,D,,D,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,14,18,21,2008 - 2009
Y,,,,Y,Y,,,,,,P,C,,,,,,,,,,D Ache,,D Discomfort,No,,No,,,Y,,,,Y,Y,,,,Y,,Y,,Y,,M,12,19,40,2008 - 2009
,,,,,Y,,,,,,P,C,,,,,,,,,,B,,,No,,No,,,,,,,Y,,,Y,,Y,Y,,,,,M,9,19,20,2008 - 2009
,,Y,,,,,,,,,,B,,,,,,,B Discomfort,,,,,D Blisters,No,,No,,,Y,,,,Y,,,,Fighting,Y,Y,Y,,,,M,15,20,22,2008 - 2009
,Y,,,,,,,,,,,P,C,,,,,,,,,,A Blisters,,No,,No,,,Y,,,Y,,,,Y,,,Y,,Y,,,M,15,20,10,2008 - 2009
Y,,,,Y,,,,Y,Y,,,,C,P,,,,,,,,,D PaIn,B Pain,Yes,Yes,Most,Y,Y,,,,,Y,Y,,,,Y,Y,,,,,M,13,19,12,2008 - 2009
Y,,,,,,,,Y,,,,,P,,,,,,D Discomfort,D Discomfort,,,,,No,,No,,,Y,,,,Y,,,,,Y,,,,,,M,14,18,75,2008 - 2009
,,,,,Y,,,,,,,C,P,,,,,A Ache,,,,,,A Ache,No,,No,,,Y,,,,,,,,,Y,,Y,Y,,,F,6,22,5,2008 - 2009
Y,Y,,,Y,,,,,,,,,P,,,,,,D Discomfort,,,,D Discomfort,,No,,No,,,Y,,Y,,Y,,,,,Y,,,,,,M,14,19,10,2008 - 2009
Y,Y,Y,,Y,,,,Y,Y,,,P,,C,,,,,,,,A Ache,B Sore,B Sore,No,,No,,,Y,,,,Y,,,Y,,,Y,,,,,M,13,18,18,2008 - 2009
,Y,,,,Y,,,,,,,,P,C,,,,B Stiff,B Stiff,,,,,,No,,No,,,Y,,,,Y,Y,,,,,Y,,Y,,,M,15,19,45,2008 - 2009
,,,,,,,,,,,,,B,,,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,,,,,,M,14,10,55,2008 - 2009
,,,,Y,Y,,,,,,,P,,C,,,,,A Ache,,,,,,No,,No,,,,Y,Y,,Y,,,,,Y,,,,,,F,15,19,20,2008 - 2009
Y,Y,Y,Y,,,,,Y,Y,,,,P,C,,,,,,B,B,B,B,B,No,,No,,,Y,,Y,,Y,,,,,Y,,Y,,,,M,13,19,20,2008 - 2009
Y,Y,Y,Y,Y,Y,,,,Y,,C,,P,,,,,A,D,D,,,,,No,,FPS,,,Y,,,,Y,,,,,Y,Y,,,Y,,F,14,19,22,2008 - 2009
Y,,,Y,,Y,,,,Y,,,P,C,,,,,,,,B Pain,A Numb,,B Pain,No,,No,,,Y,,,Y,Y,,,,,Y,Y,,,,,M,12,18,14,2008 - 2009
,,,,,,,,,,,C,P,,,,,,,,,,,,,No,,FPS,,,Y,,,,Y,,,,,Y,Y,,,,,M,10,19,35,2008 - 2009
,,,Y,,,,,,,,,,C,P,,,,A Discomfort,,,,,,D Blisters,No,,No,,,Y,,,,,Y,,,Fighting,,Y,,,,,M,14,19,20,2008 - 2009
Y,Y,Y,Y,,Y,,,,Y,,,,C,P,,,,A Ache,B Numb,B Numb,,,D Blisters,D Blisters,No,,FPS,,,Y,,,,Y,,,,,Y,Y,,,,,M,17,21,17,2008 - 2009
Y,,,,,,Y,,Y,Y,,,P,C,,,,,D Discomfort,D Pain,,,A Discomfort,,,No,,No,Y,,Y,,,,Y,,,,,Y,Y,,,,,M,10,18,25,2008 - 2009
Y,Y,,,,,,,,,,,,B,,,,,,,,,D,B,,No,,No,,,Y,,,,Y,,,,,Y,Y,,,Y,,M,12,18,30,2008 - 2009
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,C,,P,,,D Ache,D Ache,D Ache,,D Ache,,,No,,No,,,,,,,Y,,,,,Y,,,,,,M,12,19,12,2008 - 2009
,,,,,Y,,,,,,,C,P,,,,,,A,,,,,B,No,,No,,,Y,,,,Y,Y,,,,Y,Y,,,,,M,14,19,10,2008 - 2009
,,,,Y,Y,Y,Y,,,,,,B,,,,,B Stiff,B,B,,D,D,D,No,,No,,,Y,,Y,,Y,,,,,Y,,Y,,,,M,19,24,20,2008 - 2009
,,,Y,,Y,,,,Y,,,,B,,,,,A,A,B,,B,,,No,,No,,Y,Y,Y,Y,,Y,Y,,,,Y,Y,Y,,,,M,12,20,22,2008 - 2009
Y,Y,,,,,,,,,,,,P,C,,,,,,,,,,,No,,No,,,Y,,,,Y,,,,,,Y,,,,,M,10,18,30,2008 - 2009
,Y,,,,Y,,,,,,,,B,,,,,,,A Stiff,,,,,No,,No,,,,,,,,,,,Fighting,Y,Y,,,,,M,10,18,25,2008 - 2009
,Y,,,,,,,,,,,,B,,,,,,,,A Ache / Blisters,,,A Ache / Blisters,No,,No,,,,,Y,,Y,,,,,Y,Y,,,,,M,10,20,18,2008 - 2009
,,Y,,,,,,,,,,P,,C,,,,,,,,,D Sore,D Sore,No,,No,Y,,Y,,,Y,,,,,,Y,Y,,,,,M,16,21,10,2008 - 2009
,,,Y,,,,,,,,,P,,C,,,,A Pain,,,,,,,No,,FPS,,,Y,Y,,,,Y,,,,Y,Y,,,,,M,11,20,10,2008 - 2009
,,,Y,,Y,,,,,,,,C,P,,,,,,,,B Numb,B Numb,,No,,No,,,Y,Y,Y,,,,,,,Y,Y,,Y,,,M,12,18,20,2008 - 2009
,,,,,Y,,,,,,,,B,,,,,A,A,,A,A,,,No,,FPS,,Y,,,Y,,,,,,,,Y,Y,,,,M,14,18,15,2008 - 2009
,,,,Y,Y,,,,Y,,,,P,C,,,,B Stiff,B,,,,,,No,,No,,,,,,,Y,,,,,,Y,,,,,M,7,23,28,2008 - 2009
Y,,,,,Y,,,,,,,,B,,,,,,,,,,,,No,,No,,,,,Y,Y,Y,,,Y,,Y,Y,,Y,,,M,13,19,10,2008 - 2009
,,,,Y,,,Y,,,,P,,C,,,,,,,D Discomfort,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,15,19,14,2008 - 2009
,Y,,,,,,,,,,,,P,C,,,,D,D,,,D,,D,No,,No,,,Y,,,,Y,Y,,,,Y,Y,,Y,,,M,14,18,45,2008 - 2009
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Watering Eyes,,,P,,C,,,B Pain,D Discomfort,B Pain,A Blisters,B Pain,B Pain,B Pain,No,,No,,,Y,,,,Y,Y,,,,Y,Y,,,,,M,15,19,65,2008 - 2009
Y,,,,Y,Y,,,Y,,,,P,C,,,,,D Pain,D Pain,,,,D Stiff,D Pain,No,,No,,,,,,,Y,,,Y,,Y,Y,,,,,M,17,21,12,2008 - 2009
,Y,,Y,,,,,,,,,C,P,,,,,,,,,,A Blisters,,No,,No,Y,,Y,,,,,,,,Fighting,Y,,Y,,,,M,14,19,22,2008 - 2009
,Y,,,,,,,,Y,,,,B,,,,,,,,A Pain,,,A Sore,No,,No,,,Y,,,,Y,,,,Fighting,Y,Y,,,,,F,14,20,27,2008 - 2009
,,,,,,,,,,,P,C,,,,,,,,,,,,,No,,No,,,Y,Y,,,Y,,,,,Y,Y,,,,,M,17,20,26,2008 - 2009
Y,Y,,,,,,,,Y,,,,,P,C,,,B Stiff,,,,,A Sore,,No,,No,,,,Y,,Y,,Y,,,,Y,,,Y,,,F,16,20,10,2008 - 2009
Y,Y,,,,Y,,,Y,,,,,,P,C,,,B Pain,,,,B Pain,,,No,,No,,,,,,Y,Y,,Y,,,Y,Y,,,Y,,M,16,22,20,2008 - 2009
,Y,,,Y,,,,,,,,B,,,,,,,,A Ache,,D Ache,,,No,,No,,,Y,,,,Y,,,Y,,Y,,Y,,Y,,M,15,21,33,2008 - 2009
Y,,,,Y,,,,,,,,,,,B,,,,,,,,,,No,,No,,,Y,,,Y,Y,,,,,Y,Y,,,,,M,11,21,45,2008 - 2009
,Y,,,,,,,,Y,,,P,C,,,,,A Sore,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,Y,,M,11,19,18,2008 - 2009
Y,Y,,,,,,,,,,,,C,P,,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,12,19,37,2008 - 2009
,,,,,,,,,,,,P,C,,,,,,,,,,,,No,,No,,,Y,,,,Y,Y,,,,Y,Y,,,Y,,M,15,20,7,2008 - 2009
Y,Y,,Y,Y,Y,,,Y,Y,,,P,,C,,,,B Ache,B Ache,B Ache,,,B Ache / Blisters,B Ache / Blisters,No,,No,,,Y,Y,Y,,Y,,,,,Y,Y,,,,,M,17,20,70,2008 - 2009
Y,,Y,Y,,Y,,,,,,,,,B,,,,,,B Pain,,,D Blisters,D Blisters,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,15,19,65,2008 - 2009
,,,,,,,,,,,,C,,,P,,,,,,,,,D Ache,No,,No,,,Y,,,,Y,,,,,,Y,,,,,M,16,19,14,2008 - 2009
,,,,,,,,,,,,,B,,,,,,,,,,,D Ache,No,,No,,,Y,,,,,,,,Hack n Slash,,Y,,,,,F,11,25,62,2008 - 2009
Y,,,,,Y,,,,,,,,,,,,,,,D Ache,,D Ache,,D Cramps,No,,No,,,Y,,Y,,,Y,,,,Y,Y,,Y,,,F,11,18,5,2008 - 2009
,,,,,,,,,,,,,B,,,,,,,,,,,,No,,No,,,,,Y,Y,,Y,,,,Y,,Y,,,,M,15,18,80,2007 - 2008
,,,,,,,,,,,P,C,,,,,,,,,,,,,No,,No,,,Y,,,,,,,,Adventure,Y,Y,,Y,,,M,16,20,8,2007 - 2008
,,,Y,,Y,,,,,,,,C,P,,,,,,,,,,,No,,No,,,,,Y,,Y,,,,,Y,,,,,,M,8,19,25,2007 - 2008
,Y,,Y,,,,,,,,,,C,P,,,,,,,,,,,No,,No,,Y,Y,,,,Y,,,,,,Y,,,,,M,12,18,15,2007 - 2008
,,,,Y,,,,,,,,B,,,,,,,,,,,,,No,,No,,,Y,,,,,Y,,,Adventure,,Y,,,,,M,15,19,18,2007 - 2008
,,,,,,,,,,,B,,,,,,,,,,,,,,No,,No,,,,,Y,,Y,Y,,,,Y,Y,Y,Y,Y,,M,14,20,22,2007 - 2008
,,Y,,,,,,,,,P,,,,,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,,,,,,M,14,18,20,2007 - 2008
,,,,,,,,,,,,,,b,,,,B Disconform A Pain,,,,,,,No,,No,,,,,,,Y,,,Y,,,Y,,,,,M,10,18,4,2007 - 2008
,,,,,,,,,,,,,P,C,,,,,,D Pain,,,,,No,,No,,,Y,,,,Y,,,,,Y,,Y,,Y,,M,16,18,9,2007 - 2008
,Y,,,,,,,,,,,P,,C,,,,,,A Pain,,,,D Sore,No,,No,,,Y,,,,Y,Y,,,,Y,,,,,,M,15,19,20,2007 - 2008
Y,,,Y,,Y,Y,,,Y,,,P,,C,,,,A Ache,,D Ache,,,,,No,,No,,,Y,,,,Y,Y,,,,Y,,,,,,M,14,19,5,2007 - 2008
,,,Y,Y,Y,,,,Y,,,,,,B,,,,,,,,,,No,,No,,,,,,Y,Y,,,,,,Y,,,,,M,7,19,15,2007 - 2008
,Y,,,,Y,,,,,,,,B,,,,,A Ache,A,A Pain,,,,,No,,No,,,,,Y,,Y,,Y,,,Y,Y,,,Y,,M,8,18,4,2007 - 2008
,,,Y,Y,Y,,,,Y,,,C,P,,,,,D,,D,,A,,A,No,,No,,,,,,,Y,,,,,Y,,,Y,,,M,12,19,20,2007 - 2008
Y,,,,,,,,,,,,P,C,,,,,,,D Pain,,,,,No,,No,,,,,,,Y,,,,Adventure,Y,,Y,Y,,,F,19,22,45,2007 - 2008
,Y,,Y,,Y,,,,,,,,,P,C,,,,,A Discomfort,,,,,No,,No,,,,,,,Y,,Y,,,Y,Y,,,Y,,F,11,18,3,2007 - 2008
,Y,,,,,,,,,,,,,,B,,,,,D Ache,D Blisters,,,,No,,No,,,Y,,,,,Y,,,,,Y,,,,,F,14,18,30,2007 - 2008
Y,,,,Y,,,,,,,,,,P,,,,D Ache,,D Ache,,,,,No,,No,Y,Y,Y,,,,,Y,Y,,,Y,,,,Y,,F,12,18,10,2007 - 2008
,,Y,Y,Y,Y,,,,,,,,P,C,,,,,D Discomfort,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,,,,,,M,13,19,55,2007 - 2008
,,,,Y,Y,,,,,,,,C,P,,,,,,,,B Ache,,,No,,No,,,Y,,Y,,Y,,,,,Y,,,,,,M,8,18,20,2007 - 2008
Y,,,Y,Y,Y,,,,Y,,,,,B,,,,,D Ache,,,,,,No,,No,,Y,Y,,,,,Y,,,,Y,Y,,,,,M,21,23,4,2007 - 2008
,,,,,,,,,,,,B,,,,,,,,,,,,D Discomfort,No,,No,,,Y,,,,,,,,Action,Y,Y,,,,,F,8,20,8,2007 - 2008
,Y,,,Y,Y,,,,Y,,C,P,,,,,,,,,,B Ache,,,No,,No,,,,,Y,,Y,,,,,Y,Y,,Y,Y,,M,15,18,20,2007 - 2008
Y,Y,,Y,,Y,,,,Y,,,P,C,,,,,,,,,,,,No,,No,,,Y,,,,,,,,,Y,,Y,,,,F,11,18,1,2007 - 2008
Y,Y,,,,Y,,,,Y,,,,C,P,,,,,,,,,,A Blisters,No,,No,,,Y,,Y,,,,,,,Y,Y,,,,,M,9,19,9,2007 - 2008
,,,,,,,,,Y,,,,P,,C,,,D Discomfort,D Discomfort,,,,,D Blisters,No,,No,,,Y,,Y,,Y,,,,,Y,,,,,,M,14,19,22,2007 - 2008
Y,,,,Y,,,,Y,,,,,B,,,,,,,,,,D Blisters,,No,,No,,,Y,,Y,,Y,,,,,Y,,,Y,,,M,13,19,5,2007 - 2008
,Y,,,,,,,,,,,P,,C,,,,,,,D Pins & Needles,,,,No,,No,,,,,,,,,,Y,,,Y,,,,,M,15,23,25,2007 - 2008
,Y,,,,,,,,,,,,,C,,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,,,,,,M,13,19,44,2007 - 2008
,Y,,,,,,,,,,,,,B,,,,,,,,,B Pain,B Numbness,No,,FPS,,,Y,,Y,,,,,,,Y,,,,,,M,21,28,10,2007 - 2008
Y,Y,,,,,,,Y,Y,,,,,,B,,,,D,,,A,,,No,,No,,,Y,,,,,,,,,,Y,Y,Y,,,M,12,19,30,2007 - 2008
,Y,Y,,,Y,,,,,,,,B,,,,,B Discomfort,B Discomfort,,B Pain,B Pain,,B Pain,No,,No,,,,Y,,,,,,Y,,,,Y,Y,,,M,20,29,6,2007 - 2008
Y,Y,,Y,,,Y,Y,,,,,,C,,P,,,B Pain,,B Pain,B Discomfort,,B Numb,,Yes,Games,FPS,,,,,Y,,Y,,,,,Y,,,,,,M,12,20,35,2007 - 2008
,,,,,,,,,,,,C,P,,,,,,,,D Pain,D Pain,D Pain,D Pain,No,,No,,,,,,Y,,Y,Y,,,Y,Y,,Y,,,M,15,20,6,2007 - 2008
,Y,,,,,,,Y,Y,,,,C,P,,,,B Ache,B Ache,B Ache,,B Discomfort,,,No,,No,Y,,Y,,,,,,,,Fighting,,Y,,,,Handheld,M,12,19,14,2007 - 2008
,,,Y,,Y,,,,Y,,,,,B,,,,A Pain,A Pain,A Pain,,,,,No,,No,,,Y,,,,Y,,,,,Y,Y,,,,,M,10,19,10,2007 - 2008
,Y,,,,Y,,,Y,Y,Tireness,,C,,,,,,,,A,,D,D,B,No,,No,,,Y,,,Y,,,,,Fighting,,Y,,Y,,,F,14,18,14,2007 - 2008
Y,,,,Y,,,,,Y,,,P,C,,,,,A Ache,,A Ache,A Ache,A Pain,,,No,,No,,,,,Y,,Y,,,,,Y,Y,,,,,M,9,21,15,2007 - 2008
,Y,,,,,,,,Y,,,,P,C,,,,B Discomfort,,B Discomfort,,,,B Discomfort,No,,No,,,Y,,,,Y,Y,,,,Y,Y,,,,,M,16,20,15,2007 - 2008
,,,,Y,Y,,,,,,,B,,,,,,B Tired,,B Tired,,,,,No,,No,,,Y,,,,,,,,,Y,,,,,,M,15,22,4,2007 - 2008
Y,Y,Y,,Y,Y,,,,,Tunnel Vision,,,,C,P,,,,,B Ache,D Pain,D Ache,D Blisters,D Blisters,No,,No,,,Y,,,,,,Y,Y,,Y,Y,,,Y,,M,13,20,6,2007 - 2008
Y,Y,Y,Y,,Y,Y,Y,,Y,,,,B,,,,,B Ache,B Ache,B Ache,B Ache,B Ache,B Ache,B Ache,Yes,No,FPS,,,Y,,,,,Y,,,,Y,Y,,,,,F,11,18,16,2007 - 2008
Y,Y,Y,,Y,Y,Y,,,Y,,,P,,C,,,,B Ache,A Ache,A Ache,B Cramp,,A Blisters,A Blisters,No,,No,Y,Y,Y,,,,,,,,,Y,Y,,,,,F,15,18,20,2007 - 2008
Y,Y,,,,,Y,Y,,,,,C,P,,,,,A Stiff,,,,,,A Ache,No,,Plat/Dance,,,Y,,,,Y,,,Y,,Y,Y,Y,,,,M,14,19,27,2007 - 2008
Y,,Y,,Y,,,,,,,,C,P,,,,,,D Ache,,,,D Ache,A Blisters,No,,FPS,,,Y,,Y,,,,,,,Y,Y,,,,,M,19,24,22,2007 - 2008
,Y,,,,Y,,,,,,,P,,,,,,A Discomfort,D Discomfort,,D Numbness,D Discomfort,,,No,,No,,,Y,,Y,,Y,,,,,Y,,,,,,M,14,18,22,2007 - 2008
Y,,,Y,Y,,,,,,,,P,,C,,,,B Pain,B Pain,B Pain,,,B Numb,B Numb,No,,No,,,,,Y,,Y,Y,,,,,Y,,,,,M,12,18,22,2007 - 2008
,Y,Y,Y,,Y,,Y,Y,Y,,,P,,C,,,,B Stiffness,B Stiffness,,B Numb,,B Numb,B Numb,No,,Bright+Fast,,,Y,,,,Y,Y,,,,Y,Y,,Y,Y,,M,10,18,29,2007 - 2008
Y,Y,,Y,,,,,Y,Y,,,,C,P,,,,B Ache,,B Ache,,,B Ache,B Ache,No,,No,,,Y,,,,,Y,,,,,Y,,Y,,,M,9,18,33,2007 - 2008
,,,,Y,,,,Y,,,,,C,P,,,,B,,,,,,,No,,No,,,,,,,Y,Y,,,,Y,,,,,,F,11,18,8,2009 - 2010
,,,Y,,,,,Y,,,B,,,,,,,,,,D Blisters,,A Ache,,No,,No,,,,,,,Y,,,,,Y,Y,,Y,,,M,17,20,33,2009 - 2010
Y,Y,Y,,Y,,,,,,,,,C,,P,,,,,,,,,,No,,No,,,,,,,Y,,,Y,,Y,,,,,,M,15,20,10,2009 - 2010
Y,Y,,,Y,,,,,,,,C,,,,,,,,,,,,,No,,No,Y,,Y,,,,Y,,,,,,Y,,,,,M,16,19,22,2009 - 2010
,,,,Y,,,,Y,,,,,B,,,,,,,,,,D,,No,,No,,,,,,,Y,Y,,,Action,Y,Y,,,,,M,13,19,15,2009 - 2010
